Exchange,Symbol,ISIN,Security ID,SecurityType,Security Desc.,Expiry/Series,round,OptionType,StrikePrice,Multiplier,TickSize,TradingUnitFactor,Divider,BaseCurrency,SettleCurrency
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMAPR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMAUG,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMDEC,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMFEB,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMJAN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMJUL,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMJUN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMMAR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMMAY,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMNOV,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMOCT,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ALUMINIUM,,ALUMINIUMSEP,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERAPR,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERAUG,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERDEC,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERFEB,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERJAN,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERJUL,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERJUN,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERMAR,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERMAY,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERNOV,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPEROCT,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,COPPER,,COPPERSEP,Future,MCX Future,,,XX,0,2500,0.05,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMAPR,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMAUG,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMDEC,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMFEB,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMJAN,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMJUL,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMJUN,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMMAR,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMMAY,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMNOV,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMOCT,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOILMINI,,CRUDEOILMSEP,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILAPR,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILAUG,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILDEC,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILFEB,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILJAN,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILJUL,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILJUN,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILMAR,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILMAY,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILNOV,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILOCT,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,CRUDEOIL,,CRUDEOILSEP,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDAPR,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDAUG,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDDEC,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDFEB,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDJUN,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMAPR,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMAUG,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDMAY,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMDEC,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMFEB,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMJAN,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMJUL,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMJUN,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMMAR,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMMAY,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMNOV,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMOCT,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLDMINI,,GOLDMSEP,Future,MCX Future,,,XX,0,10,1,1,1,INR,INR
MT5_MCX_ Future,GOLD,,GOLDOCT,Future,MCX Future,,,XX,0,100,1,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADAPR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADAUG,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADDEC,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADFEB,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADJAN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADJUL,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADJUN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADMAR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADMAY,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIAPR,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIAUG,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIDEC,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIFEB,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIJAN,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIJUL,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIJUN,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIMAR,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIMAY,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMININOV,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINIOCT,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEADMINI,,LEADMINISEP,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADNOV,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADOCT,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,LEAD,,LEADSEP,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASAPR,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASAUG,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASDEC,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASFEB,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASJAN,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASJUL,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASJUN,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASMAR,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASMAY,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASNOV,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASOCT,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,NATURALGAS,,NATURALGASSEP,Future,MCX Future,,,XX,0,1250,0.1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERDEC,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERJUL,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMAPR,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERMAR,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMAUG,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERMAY,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMFEB,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROJUN,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROJUL,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICRONOV,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROSEP,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROAUG,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICROOCT,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMICRO,,SILVERMICRODEC,Future,MCX Future,,,XX,0,1,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMJUL,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMJUN,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMMAY,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMNOV,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVERMINI,,SILVERMSEP,Future,MCX Future,,,XX,0,5,1,1,1,INR,INR
MT5_MCX_ Future,SILVER,,SILVERSEP,Future,MCX Future,,,XX,0,30,1,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCAPR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCAUG,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCDEC,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCFEB,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCJAN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCJUL,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCJUN,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCMAR,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCMAY,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIAPR,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIAUG,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIDEC,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIFEB,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIJAN,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIJUL,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIJUN,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIMAR,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIMAY,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMININOV,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINIOCT,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINCMINI,,ZINCMINISEP,Future,MCX Future,,,XX,0,1000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCNOV,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCOCT,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
MT5_MCX_ Future,ZINC,,ZINCSEP,Future,MCX Future,,,XX,0,5000,0.05,1,1,INR,INR
